Channel,Frequency,Mode,Step,Delay,Alpha tag,Priority,Lock out
198,0.0,,0,0,,No,No
199,243.0,,0,0,,No,No
200,0.0,,0,0,,No,No
201,137.975,,0,0,,No,No
202,137.98,,0,0,,No,No
203,138.075,,0,0,,No,No
204,138.15,,0,0,,No,No
205,138.175,,0,0,,No,No
206,153.025,,0,0,,No,No
207,153.075,,0,0,,No,No
208,153.125,,0,0,,No,No
209,153.15,,0,0,,No,No
210,153.175,,0,0,,No,No
211,153.225,,0,0,,No,No
212,153.2375,,0,0,,No,No
213,153.25,,0,0,,No,No
214,153.275,,0,0,,No,No
215,153.325,,0,0,,No,No
216,153.35,,0,0,,No,No
217,153.3625,,0,0,,No,No
218,153.375,,0,0,,No,No
219,153.45,,0,0,,No,No
220,454.075,,0,0,,No,No
221,454.2,,0,0,,No,No
222,454.675,,0,0,,No,No
223,454.775,,0,0,,No,No
224,454.825,,0,0,,No,No
225,457.995,,0,0,,No,No
226,458.205,,0,0,,No,No
227,131.525,,0,0,,No,No
228,131.725,,0,0,,No,No
229,0.0,,0,0,,No,No
230,0.0,,0,0,,No,No
231,0.0,,0,0,,No,No
232,0.0,,0,0,,No,No
233,0.0,,0,0,,No,No
234,0.0,,0,0,,No,No
235,0.0,,0,0,,No,No
236,0.0,,0,0,,No,No
237,0.0,,0,0,,No,No
238,0.0,,0,0,,No,No
239,0.0,,0,0,,No,No
240,0.0,,0,0,,No,No
241,0.0,,0,0,,No,No
242,0.0,,0,0,,No,No
243,0.0,,0,0,,No,No
244,0.0,,0,0,,No,No
245,0.0,,0,0,,No,No
246,0.0,,0,0,,No,No
247,0.0,,0,0,,No,No
248,0.0,,0,0,,No,No
249,0.0,,0,0,,No,No
250,0.0,,0,0,,No,No
251,134.275,,0,0,,No,No
252,129.4,,0,0,,No,No
253,134.8,,0,0,,No,No
254,135.675,,0,0,,No,No
255,130.025,,0,0,,No,No
256,132.7,,0,0,,No,No
257,121.5,,0,0,,No,No
258,126.825,,0,0,,No,No
259,118.95,,0,0,,No,No
260,129.025,,0,0,,No,No
261,135.575,,0,0,,No,No
262,124.225,,0,0,,No,No
263,134.225,,0,0,,No,No
264,121.8,,0,0,,No,No
265,121.95,,0,0,,No,No
266,136.525,,0,0,,No,No
267,131.425,,0,0,,No,No
268,130.65,,0,0,,No,No
269,131.475,,0,0,,No,No
270,131.875,,0,0,,No,No
271,131.75,,0,0,,No,No
272,130.075,,0,0,,No,No
273,131.7,,0,0,,No,No
274,122.05,,0,0,,No,No
275,131.425,,0,0,,No,No
276,136.875,,0,0,,No,No
277,130.175,,0,0,,No,No
